,ANO_PROCEDIMENTO,ID_ARQUIVO,ID_LICITACAO,NOME_ARQUIVO
216,2023,733120,760998,julgamentosecret.pdf
217,2023,733137,771824,PE 015.2023 - Fornecimento pneus.pdf
218,2023,733157,761255,RelAtaEletronica (2).pdf
219,2023,733158,761255,2_ATA RP.pdf
220,2023,733185,782245,EDITAL PDF.pdf
226,2023,733198,782247,EDITAL PDF.pdf
232,2023,733222,782254,corrig.-Edital-Carta Convite nº 002-2023 - prest. de serv. pav. em paralelep. SICONV-PMPL.pdf
234,2023,733224,782254,corrig.-Recibo de Entrega-Carta Convite nº 002-2023 - prest. de serv. pav. em paralelep. SICONV-PMPL .pdf
235,2023,733230,782256,Edital - PE 003.2023.pdf
237,2023,733270,782222,Edital PE 014-2023 (1) (1) (1).pdf
238,2023,733284,761123,ATA FINAL PE 003-2023.pdf
239,2023,733287,761855,Ata de Realização do Pregão Eletrônico Nº 004-2023.pdf
240,2023,733326,761730,ATA DE FINALIZAÇÃO 019-2023.pdf
241,2023,733339,782279,Edital de Licitação- Pregão Eletrônico nº 014-2023.pdf
242,2023,733346,761698,ATA TOMADA DE PREÇOS 002-2023.pdf
243,2023,733354,771883,Resultado por Fornecedor - ComprasNet.pdf
244,2023,733355,771883,Ata_de_Julgamento_do_PE_006_2023.pdf
245,2023,733356,771883,Termo de Adjudicação do PE 006_2023 - ComprasNet.pdf
246,2023,733357,771883,Termo de Homologação do PE 006_2023 - ComprasNet.pdf
247,2023,733358,771883,Publ. no DOM dos Termos de Adjudicação e Homologação do PE 006_2023.pdf
248,2023,733359,771883,Proposta_Adequada_PE_006_2023.pdf
249,2023,733364,782281,Edital Pregão Eletrõnico nº 020-2023_TRANSP. ESCOLAR.pdf
251,2023,733378,782286,Edital Pregão Eletrõnico nº 024-2023_SERVIÇOS DE INFORMÁTICA (2).pdf
253,2023,733419,782311,Pregão Presencial  08-2023 - TCE.pdf
255,2023,733433,782313,corrig.-Edital-Pregão Eletrônico nº 018-2023-Fornec. de material de construção p. Sec.-PMBJ.pdf
256,2023,733443,782281,PUBLICAÇÃO NO DOM-PI.pdf
257,2023,733448,782286,PUBLICAÇÃO NO DOM-PI.pdf
258,2023,733449,782320,corrig.-Edital-Pregão Eletrônico nº 015-2023-Prest. de serv. de mídias sociais-PMP.pdf
259,2023,733453,782322,EDITAL  PE019.2023 -FRUTAS E VERDURAS SAÚDE.pdf
260,2023,733484,782320,corrig.-Edital-Pregão Eletrônico nº 018-2023-Fornec. de mat. elétrico-PMP .pdf
261,2023,733485,782320,corrig.-T. de Ref.-Pregão Eletrônico nº 018-2023-Fornec. de mat. elétrico-PMP   .pdf
262,2023,733503,761530,doc02914820230313072725.pdf
264,2023,733515,782220,Extrato de publicação RETIFICAÇÃO DATA ABERTURA PREG ELET SRP 007-2023 - BNC.pdf
265,2023,733533,750532,ata assinada.pdf
266,2023,733570,782345,TP 003.2023 SERVIÇOS MECANICOS.pdf
268,2023,733575,782347,EDITAL CHAMAMENTO PUBLICO - CREDENCIAMENTO DE MEDICOS - PMLSF (1) (1).pdf
270,2023,746791,792528,Edital Tomada de Preço 006.pdf
271,2023,746819,792963,EDITAL PDF.pdf
277,2023,746822,792964,10 Edital PREGÃO ELETRÔNICO Nº 16-2023 maquinário.pdf
278,2023,746859,792978,Prega~o eletro^nico nº 019-2023 - Edital.pdf
280,2023,746875,792981,REFORMA DA PRAÇA DA CIDADANIA NA ZONA URBANA DO MUNICÍPIO DE CANTO DO BURITI - PI.zip
281,2023,746880,771904,ATA DA SESSÃO.pdf
282,2023,746916,760758,DM_4779_754_Sao_Raimundo_Nonato_Licitacao_PE_002-23_SRP_ARP_003-23_pag_104.pdf
284,2023,746918,792995,59 Edital Ar Condicionado PP 023-2023.pdf
288,2023,746958,772189,ATA da Sessão Pública PE 020-2023 - Materiais de Construção e Elétricos.pdf
289,2023,746960,772189,Histórico da Sessão PE 020-2023 - Materiais de Construção e Elétricos.pdf
290,2023,746961,772189,Relatório de Classificação PE 020-2023 - Materiais de Construção e Elétricos.pdf
291,2023,746962,772189,Relatório de Vencedores PE 020-2023 - Materiais de Construção e Elétricos.pdf
292,2023,746963,772189,Documentos de Habilitação PE 020-2023 - Materiais de Construção e Elétricos.pdf
293,2023,746964,772189,Termo de Adjudicação PE 020-2023 - Materiais de Construção e Elétricos.pdf
294,2023,746965,772189,Termo de Homologação PE 020-2023 - Materiais de Construção e Elétricos.pdf
295,2023,746994,760826,64923_Ata.pdf
296,2023,747059,792764,PP 07 - Edital - Serviços Mecanicos (pdf.io).pdf
297,2023,747058,793013,5. EDITAL QUENTINHAS.pdf
299,2023,747062,772054,LICITANET - ATA DE REALIZAÇÃO DO PREGÃO ELETRÔNICO.pdf
300,2023,747067,772054,ATA DE REGISTRO DE PREÇOS 009-A 2023 - J V & MONTEIRO- digitalizado.pdf
301,2023,747066,772054,ATA DE REGISTRO DE PREÇOS 009-B 2023 – BRASIL MEDICAMENTOS-digitalizado.pdf
302,2023,747068,772054,LICITANET - Termo de Homologação.pdf
303,2023,747069,793014,Edital Pregão Eletrônico 014-2023MAT_ODONTOLÓGICO_PROTESES_ (2).pdf
305,2023,747119,772039,66737_Ata.pdf
306,2023,747120,793028,Pregão Presencial nº 014-2023 - SRP - Aquisição de cimento.pdf
307,2023,747127,793031,"Pregão Presencial nº 015-2023 - SRP - Aquisição de areia, brita e pedra de calçamento.pdf"
308,2023,747161,793045,PE 016.2023 - Equip. Fisioterapia.pdf
311,2023,747189,793063,EDITAL PREGÃO ELETRÔNICO 001-2023 SERVIÇOS DE MÍDIAS.pdf
313,2023,747192,793063,MINUTA DE CONTRATO - REF. PREG ELET 001-2023 SERVIÇOS DE MÍDIAS.pdf
315,2023,747194,793063,Extrato de publicação 001_2023 - BNC.pdf
316,2023,747197,793064,EDITAL PREGÃO ELETRÔNICO 002-2023 SERVIÇOS DE RÁDIO FUSÃO AM E FM.pdf
317,2023,747247,782350,Edital de Licitação - Pregão Eletrônico nº 07-2023.pdf
319,2023,747249,782350,SEI_TJPI - 4137841 - Análise.pdf
320,2023,747251,782350,Ata de Realização do Pregão Eletrônico.pdf
321,2023,747252,782350,Termo de Homologação.pdf
322,2023,747254,782350,Termo de Adjudicação.pdf
323,2023,747257,782350,SEI_TJPI - 4154147 - Contrato.pdf
324,2023,747267,793078,Chamada pública 001.2023 - Agricultura Familiar.pdf
326,2023,747285,782350,SEI_TJPI - 4029683 - Pesquisa de Preços.pdf
327,2023,747288,793081,PE 008 LIMPEZA .pdf
330,2023,747302,793064,EDITAL PREGÃO ELETRÔNICO 002-2023 SERVIÇOS DE RÁDIO FUSÃO AM E FM.pdf
332,2023,747304,793064,MINUTA DE CONTRATO - REF. PREG ELET 002-2023 SERVIÇOS DE RÁDIO FUSÃO AM E FM.pdf
334,2023,747306,793064,"ANO III - EDIÇÃO 446 - TERESINA (PI), TERÇA-FEIRA, 28 DE MARÇO DE 2023, PÁG. 159.pdf"
335,2023,747302,793064,EDITAL PREGÃO ELETRÔNICO 002-2023 SERVIÇOS DE RÁDIO FUSÃO AM E FM.pdf
337,2023,747304,793064,MINUTA DE CONTRATO - REF. PREG ELET 002-2023 SERVIÇOS DE RÁDIO FUSÃO AM E FM.pdf
339,2023,747306,793064,"ANO III - EDIÇÃO 446 - TERESINA (PI), TERÇA-FEIRA, 28 DE MARÇO DE 2023, PÁG. 159.pdf"
340,2023,747302,793064,EDITAL PREGÃO ELETRÔNICO 002-2023 SERVIÇOS DE RÁDIO FUSÃO AM E FM.pdf
342,2023,747304,793064,MINUTA DE CONTRATO - REF. PREG ELET 002-2023 SERVIÇOS DE RÁDIO FUSÃO AM E FM.pdf
344,2023,747306,793064,"ANO III - EDIÇÃO 446 - TERESINA (PI), TERÇA-FEIRA, 28 DE MARÇO DE 2023, PÁG. 159.pdf"
345,2023,747302,793064,EDITAL PREGÃO ELETRÔNICO 002-2023 SERVIÇOS DE RÁDIO FUSÃO AM E FM.pdf
347,2023,747304,793064,MINUTA DE CONTRATO - REF. PREG ELET 002-2023 SERVIÇOS DE RÁDIO FUSÃO AM E FM.pdf
349,2023,730252,771906,EDITAL PREG. ELET. SRP 003-2022 - AQUISIÇÃO MATERIAL DE EXPEDIENTE.pdf
351,2023,730305,761227,TP 001.2023 - Predio Camara.pdf
352,2023,730363,771920,EDITAL CHAMADA PÚBLICA Nº 001-2023 AGRICULTURA FAMILIAR.pdf
355,2023,730370,771920,CP 001 2023 DOU.pdf
356,2023,730372,771923,CC02.2023 - EDITAL.pdf
358,2023,730378,771923,ORÇAMENTO - C CONVITE.pdf
359,2023,730434,760924,ATA PE. 001-2023 - MÓVEIS E EQUIPAMENTOS.pdf
360,2023,730435,760924,PE. 001-2023 -ARP Nº 008-2023 -  MÓVEIS E EQUIPAMENTOS.pdf
361,2023,730436,760924,DM_4766_271_Elesbao_Veloso_Licitacao_PE_001-23_Extrato_ARP_008-23_pag_170.pdf
362,2023,730437,760924,pg_2_4_a4023ab1a32ed57275cbb38f63f2300f90fc2923-ARP.pdf
363,2023,730438,760924,DM_4765_371_Elesbao_Veloso_Licitacao_PE_001-23_Adjudicacao_pag_188.pdf
364,2023,730439,760924,DM_4765_372_Elesbao_Veloso_Licitacao_PE_001-23_Homologacao_pag_189.pdf
368,2023,715744,760724,Edital de Licitação - PE 07 - Fardas.pdf
369,2023,715802,761009,corrig.-Edital-Pregão Eletrônico nº 006-2023-Fornecimento de uniforms. p. Ass. Social-PMBJ.pdf
370,2023,715803,761009,T. de Ref.-Pregão Eletrônico nº 006-2023-Fornecimento de uniforms. p. Ass. Social-PMBJ .pdf
371,2023,715804,761010,PREGÃO ELETRÔNICO Nº 005-2023 - EDITAL- CONJ. ESCOLAR INFANTIL.pdf
374,2023,715809,761010,pe 005 2023 jornal.pdf
376,2023,715856,761027,Edit.PE149.2022.3REL.pdf
377,2023,715922,761041,Edital Tp 01-2023 - TCE.pdf
378,2023,715923,761042,PE 001.2023 - Locação de Horas Maqui.pdf
379,2023,715967,761059,EDITAL PE 004-2023.pdf
382,2023,715972,761060,Edital PE 01-2023 - SANTA LUZ - AQUISIÇÃO DE CARROS.pdf
386,2023,716012,760974,PEDIDO.DE.ESCLARECIMENTO.pdf
387,2023,716035,761024,EDITAL10.pdf
388,2023,716042,761074,08- Edital  peças de poços.pdf
389,2023,716050,761077,EDITAL  PE007.2023-MATERIAL DE EXPEDIENTE EDUCAÇÃO.pdf
390,2023,716098,761091,editalfardamento.pdf
391,2023,716107,761092,Pregão Eletrônico nº 008-2023  - Edital.pdf
392,2023,716162,761110,Edital PE 001_2023.pdf
393,2023,716163,761109,Edital Pregão Eletrônico 009.pdf
394,2023,716399,760977,5. EDITAL MAT. DE CONSTRUCAO.pdf
395,2023,716401,760841,5. EDITAL TRANSPORTE ESCOLAR.pdf
396,2023,716403,760991,ERRATA_-_CONVITE_NBA_001_-_2AA_ETAPA_PRACA_NOVA_DESCOBERTA_assinado.pdf
397,2023,716404,760991,MEMORIAL DESCRITIVO - 2ª ETAPA.pdf
398,2023,716405,760991,ACADEMIA DE SAUDE_LOC.NOVA DESCOBERTA - 2ª ETAPA.pdf
400,2023,716407,760991,CONVITE Nº 001 - 2ª ETAPA PRAÇA NOVA DESCOBERTA Retificado.pdf
401,2023,716408,760991,ACADEMIA DE SAUDE_LOC.NOVA DESCOBERTA - 2ª ETAPA.pdf
402,2023,716409,760991,MEMORIAL DESCRITIVO - 2ª ETAPA.pdf
404,2023,716458,761127,P.E. 09- EDITAL.pdf
405,2023,716470,761124,EDIT.PE011.2023.FMS.pdf
407,2023,716573,761159,Edital de Licitação - PMI - PE 001 2023 - Transporte Escolar.pdf
408,2023,716575,761160,Edital Pregão Eletrônico 010.pdf
409,2023,716623,761174,EDIT.PE012.2023.SEMEC.pdf
410,2023,716687,761191,11 - EDITAL PE 001_2023 -Combustíveis-min.pdf
411,2023,716680,761192,Concorrência n. 001 - asfalto.pdf
416,2023,716735,761209,EDITAL PE 007 PASSAGENS.pdf
418,2023,716737,761210,PE 001.2023 frete.pdf
419,2023,716792,761224,EDITAL PDF.pdf
425,2023,716810,761227,TP 001.2023 - Predio Camara.pdf
426,2023,716811,761227,Predio da Camara.zip
427,2023,716850,761242,EDITAL PP 013 23 ar condicionado.pdf
429,2023,716854,761241,EDITAL QUADROS EM GERAL .pdf
430,2023,716856,761241,TR QUADROS EM GERAL.pdf
432,2023,716908,761259,Dispensa nº 003-2023 - EDITAL.pdf
433,2023,716911,761259,10061300.pdf
434,2023,716913,761260,PE  005-2023 EDITAL refeições.pdf
435,2023,716946,761177,Edital PE 011-2023 -.pdf
436,2023,716949,761177,Edital PE 011-2023 -.pdf
437,2023,716992,750514,ERRATA DESPACHO CONVOCATÓRIO CP 001 2023.pdf
438,2023,747306,793064,"ANO III - EDIÇÃO 446 - TERESINA (PI), TERÇA-FEIRA, 28 DE MARÇO DE 2023, PÁG. 159.pdf"
439,2023,747348,793095,Carta Convite n. 002 - reformas da praça são raimundo.pdf
441,2023,747347,793096,EDITAL CP 001.2023 - VICINAL - ASSUNÇÃO.pdf
445,2023,732969,782185,Edital de Licitação- Pregão Eletrônico nº 012-2023.pdf
447,2023,733005,782199,EDITAL.pdf
449,2023,733007,782200,EDITAL P.E 007.2023.pdf
450,2023,733009,782167,PP SRP 001- 2023 - Edital - Combustiveis.pdf
453,2023,733062,782217,Edital CC 002 2023 - Expediente e informatica.pdf
456,2023,733067,782218,EDITAL CARTA CONVITE 001-2023 SERVIÇOS DE PINTURAS.pdf
458,2023,733093,760926,ATA DA SESSÃO PE 001-2023.pdf
466,2023,733145,782232,05. EDITAL RESIDUOS HOSPITALARES.pdf
468,2023,733149,782235,Edital Chamada Pública 001_2023.pdf
472,2023,733211,782249,PE Nº 002.2023 - EDITAL DE LICITAÇÃO - SIST INFORMATICA.pdf
474,2023,733218,782250,EDITAL PREGÃO ELETRÔNICO - 022-2023 MANUTENÇÃO DOS VEÍCULOS.pdf
476,2023,733242,781999,14 EDITAL - PAVIMENTAÇAO ASFALTICA_ _ OK.pdf
477,2023,733260,761293,ATA  PE 004-2023_000680.pdf
478,2023,733286,782267,EDITAL_CHAMADA_MERENDA_ESCOLAR_002-2023 (1).pdf
482,2023,733316,782000,10 EDITAL JORNALISTA_ _OK.pdf
483,2023,733324,771839,66421_Ata.pdf
484,2023,733366,782282,EDITAL - PE 012-2023.pdf
485,2023,733376,782285,Edital Pregão Eletrõnico nº 023-2023_MAT. INFORMÁTICA.pdf
487,2023,733399,782300,EDITAL  PE 008-2023 MAT. CONSTRUÇÃO.pdf
488,2023,733420,761376,Ata PP 006 Serviços Elétricos.pdf
489,2023,733439,782317,Edital PE 003.2023 - GRÁFICO E COM. VISUAL.pdf
490,2023,733442,782318,corrig.-Edital-Pregão Eletrônico nº 015-2023-Prest. de serv. de mídias sociais-PMP.pdf
491,2023,733446,782285,PUBLICAÇÃO NO DOM-PI.pdf
492,2023,733476,761043,ATA - PE 002.2023.pdf
493,2023,733480,782318,corrig.-Edital-Pregão Eletrônico nº 016-2023-Prest. de s erv. de tercerização de mão de obra-PMP .pdf
494,2023,733481,782318,corrig.-T. de Ref.-Pregão Eletrônico nº 016-2023-Prest. de s erv. de tercerização de mão de obra-PMP.pdf
495,2023,733496,782332,EDITALPE06.2023COPOSDESC.pdf
496,2023,733508,782335,Edital Manutenção veicular.pdf
498,2023,733532,782300,EDITAL  PE 008-2023 MAT. CONSTRUÇÃO.pdf
499,2023,733555,761394,RECURSO.LOTUS.LTS.1.2.pdf
500,2023,733556,761394,PECA.RECURSAL.LOTUS.pdf
501,2023,733557,761394,RECURSO.EQUIMED.LT.3.pdf
502,2023,733573,782349,EDITAL PP 19 23 ESPORTES.pdf
504,2023,733578,782350,Termo de Referência da STIC nº 09-2023.pdf
505,2023,733579,782350,Edital de Licitação - Pregão Eletrônico nº 07-2023.pdf
506,2023,733580,782350,SEI_TJPI - 4090171 - Informação Preço Sigiloso.pdf
507,2023,733619,782367,Edital - Carta Convite 002-2023 - PAVUSSU-PI.pdf
509,2023,733627,750411,Prefeitura Municipal de Santo Antonio de Lisboa (9) (1).pdf
510,2023,733635,760625,ATA TP 06 2023 PNEUS.pdf
511,2023,733657,782382,PA_016_2023_PE_SRP_006_2023_GENEROS ALIMENTÍCIOS_ASS_SOCIAL_EDITAL.pdf
512,2023,733658,782382,DIÁRIO DA UNIÃO.pdf
513,2023,733659,782382,JORNAL O DIA.pdf
515,2023,733675,782385,PA_017_2023_PE_007_2023_PENSÃO_EDITAL.pdf
516,2023,733676,782385,DIÁRIO DA UNIÃO.pdf
518,2023,733678,782385,JORNAL O DIA.pdf
519,2023,733706,782299,10 EDITAL MERENDA_ - OK.pdf
520,2023,733728,782400,EDITAL PREGÃO ELETRÔNICO 002-2023 SERVIÇOS TRANSP ESCOLAR MUNICIPAL.pdf
